Total Objects,Time (ms)
19,31
20,13
21,15
22,21
23,15
24,14
25,21
26,14
27,27
28,15
29,35
30,25
31,33
32,34
33,19
34,23
35,14
36,21
37,13
38,27
39,32
40,26
41,16
42,28
43,13
44,23
45,16
46,18
47,30
48,19
49,15
50,19
51,23
52,18
53,20
54,27
55,18
56,16
57,35
58,20
59,12
60,11
61,21
62,20
63,13
64,13
65,24
66,20
67,13
68,11
69,18
70,18
71,11
72,16
73,14
74,20
75,11
76,11
77,27
78,16
79,11
80,15
81,18
82,10
83,14
84,14
85,9
86,10
87,30
88,11
89,15
90,12
91,23
92,10
93,11
94,18
95,14
96,32
97,10
98,11
99,13
100,17
101,11
102,10
103,21
104,17
105,11
106,10
107,12
108,17
109,10
110,12
111,11
112,14
113,21
114,9
115,9
116,11
117,18
118,13
119,11
120,11
121,26
122,14
123,11
124,24
125,22
126,18
127,11
128,12
129,22
130,25
131,12
132,14
133,11
134,14
135,11
136,11
137,14
138,10
139,16
140,16
141,27
142,10
143,9
144,28
145,11
146,22
147,16
148,15
149,14
150,9
151,13
152,18
153,17
154,17
155,10
156,16
157,11
158,19
159,19
160,18
161,11
162,9
163,14
164,18
165,9
166,8
167,9
168,18
169,11
170,9
171,14
172,18
173,9
174,9
175,15
176,19
177,9
178,8
179,22
180,8
181,12
182,14
183,25
184,13
185,16
186,9
187,10
188,31
189,10
190,21
191,21
192,28
193,11
194,14
195,10
196,29
197,16
198,9
199,16
200,14
201,9
202,7
203,11
204,11
205,13
206,39
207,10
208,16
209,14
210,10
211,27
212,14
213,10
214,10
215,11
216,17
217,35
218,27
219,8
220,14
221,25
222,10
223,11
224,31
225,12
226,8
227,9
228,16
229,10
230,10
231,9
232,10
233,10
234,12
235,13
236,23
237,9
238,9
239,18
240,9
241,17
242,13
243,14
244,9
245,13
246,8
247,9
248,10
249,9
250,14
251,8
252,10
253,7
254,8
255,16
256,10
257,9
258,8
259,10
260,17
261,16
262,22
263,14
264,10
265,19
266,32
267,12
268,20
269,12
270,10
271,26
272,14
273,8
274,8
275,19
276,16
277,23
278,8
279,8
280,14
281,7
282,15
283,10
284,8
285,11
286,8
287,15
288,13
289,9
290,8
291,11
292,7
293,13
294,9
295,12
296,9
297,14
298,10
299,16
300,8
301,17
302,8
