Total Objects,Time (ms)
1019,3
1020,6
1021,3
1022,3
1023,3
1024,2
1025,7
1026,2
1027,4
1028,5
1029,3
1030,2
1031,3
1032,2
1033,5
1034,4
1035,5
1036,3
1037,6
1038,3
1039,3
1040,2
1041,5
1042,2
1043,6
1044,16
1045,7
1046,4
1047,3
1048,2
1049,3
1050,5
1051,3
1052,2
1053,3
1054,7
1055,6
1056,5
1057,6
1058,8
1059,6
1060,5
1061,5
1062,3
1063,2
1064,2
1065,3
1066,3
1067,3
1068,6
1069,3
1070,5
1071,2
1072,5
1073,4
1074,4
1075,9
1076,6
1077,6
1078,6
1079,4
1080,2
1081,2
1082,2
1083,4
1084,4
1085,2
1086,5
1087,5
1088,5
1089,6
1090,3
1091,4
1092,2
1093,3
1094,2
1095,2
1096,4
1097,2
1098,3
1099,3
1100,1
1101,3
1102,4
1103,2
1104,4
1105,2
1106,2
1107,3
1108,3
1109,5
1110,2
1111,2
1112,4
1113,4
1114,4
1115,3
1116,4
1117,2
1118,2
1119,4
1120,3
1121,6
1122,3
1123,7
1124,6
1125,4
1126,2
1127,2
1128,2
1129,2
1130,4
1131,2
1132,4
1133,2
1134,3
1135,3
1136,2
1137,4
1138,2
1139,2
1140,3
1141,2
1142,3
1143,4
1144,7
1145,3
1146,5
1147,4
1148,3
1149,3
1150,4
1151,2
1152,2
1153,4
1154,4
1155,5
1156,2
1157,2
1158,4
1159,2
1160,2
1161,2
1162,2
1163,3
1164,1
1165,2
1166,2
1167,2
1168,4
1169,2
1170,2
1171,3
1172,2
1173,3
1174,2
1175,2
1176,4
1177,1
1178,5
1179,2
1180,2
1181,4
1182,2
1183,3
1184,3
1185,2
1186,3
1187,2
1188,2
1189,2
1190,2
1191,2
1192,4
1193,2
1194,2
1195,3
1196,3
1197,3
1198,2
1199,2
1200,5
1201,2
1202,4
1203,2
1204,3
1205,5
1206,2
1207,2
1208,2
1209,4
1210,2
1211,4
1212,2
1213,2
1214,3
1215,8
1216,7
1217,2
1218,2
1219,3
1220,2
1221,3
1222,3
1223,4
1224,6
1225,4
1226,3
1227,4
1228,2
1229,4
1230,2
1231,3
1232,2
1233,3
1234,3
1235,2
1236,4
1237,10
1238,5
1239,3
1240,3
1241,3
1242,4
1243,3
1244,2
1245,3
1246,5
1247,2
1248,2
1249,5
1250,2
1251,2
1252,3
1253,5
1254,9
1255,3
1256,4
1257,3
1258,6
1259,4
1260,2
1261,3
1262,4
1263,2
1264,5
1265,2
1266,2
1267,2
1268,2
1269,2
1270,2
1271,2
1272,3
1273,2
1274,3
1275,2
1276,3
1277,5
1278,2
1279,2
1280,2
1281,4
1282,2
1283,4
1284,2
1285,2
1286,3
1287,3
1288,3
1289,2
1290,2
1291,2
1292,2
1293,2
1294,2
1295,3
1296,2
1297,3
1298,3
1299,5
1300,8
1301,6
1302,4
1303,2
1304,4
1305,4
1306,5
1307,3
1308,6
1309,2
1310,2
1311,3
1312,2
1313,4
1314,3
1315,2
1316,7
1317,3
1318,6
1319,4
1320,2
1321,4
1322,6
1323,7
1324,4
1325,3
1326,3
1327,2
1328,2
1329,1
1330,1
1331,3
1332,3
1333,2
1334,3
1335,4
1336,6
1337,2
1338,2
1339,3
1340,2
1341,3
1342,3
1343,2
1344,4
1345,3
1346,2
1347,2
1348,2
1349,3
1350,2
1351,7
1352,4
1353,2
1354,3
1355,2
1356,2
1357,1
1358,2
1359,3
1360,2
1361,4
1362,2
1363,2
1364,3
1365,2
1366,3
1367,3
1368,4
1369,2
1370,3
1371,3
1372,2
1373,4
1374,2
1375,2
1376,3
1377,1
1378,2
1379,2
1380,1
1381,2
1382,2
1383,4
1384,6
1385,3
1386,2
1387,3
1388,2
1389,2
1390,2
1391,2
1392,3
1393,3
1394,2
1395,5
1396,4
1397,2
1398,6
1399,3
1400,4
1401,2
1402,2
1403,3
1404,2
1405,2
1406,3
1407,2
1408,3
1409,4
1410,3
1411,2
1412,2
1413,23
1414,2
1415,2
1416,2
1417,3
1418,2
1419,3
1420,1
1421,2
1422,3
1423,2
1424,2
1425,2
1426,3
1427,3
1428,2
1429,4
1430,2
1431,2
1432,3
1433,2
1434,2
1435,1
1436,2
1437,4
1438,2
1439,4
1440,2
1441,2
1442,3
1443,2
1444,2
1445,2
1446,2
1447,3
1448,2
1449,4
1450,2
1451,2
1452,3
1453,1
1454,3
1455,2
1456,2
1457,2
1458,2
1459,4
1460,2
1461,2
1462,3
1463,4
1464,5
1465,6
1466,2
1467,3
1468,2
1469,3
1470,3
1471,3
1472,2
1473,4
1474,2
1475,3
1476,2
1477,3
1478,3
1479,2
1480,3
1481,1
1482,2
1483,2
1484,2
1485,2
1486,2
1487,6
1488,3
1489,2
1490,3
1491,3
1492,5
1493,2
1494,2
1495,3
1496,2
1497,6
1498,4
1499,2
1500,2
1501,5
1502,5
1503,2
1504,2
1505,3
1506,2
1507,4
1508,2
1509,3
1510,2
1511,2
1512,2
1513,2
1514,4
1515,2
1516,2
1517,2
1518,3
1519,1
1520,3
1521,3
1522,2
1523,4
1524,5
1525,7
1526,4
1527,3
1528,5
1529,1
1530,3
1531,5
1532,4
1533,2
1534,3
1535,2
1536,3
1537,2
1538,3
1539,3
1540,3
1541,3
1542,5
1543,2
1544,2
1545,2
1546,4
1547,3
1548,3
1549,3
1550,5
1551,2
1552,4
1553,2
1554,5
1555,3
1556,3
1557,2
1558,3
1559,2
1560,3
1561,3
1562,2
1563,2
1564,3
1565,2
1566,2
1567,3
1568,3
1569,4
1570,2
1571,3
1572,2
1573,2
1574,2
1575,2
1576,3
1577,2
1578,2
1579,4
1580,3
1581,2
1582,2
1583,3
1584,2
1585,3
1586,3
1587,3
1588,2
1589,2
1590,2
1591,2
1592,2
1593,2
1594,2
1595,2
1596,2
1597,1
1598,2
1599,3
1600,2
1601,3
1602,3
1603,2
1604,3
1605,2
1606,2
1607,3
1608,2
1609,3
1610,2
1611,2
1612,3
1613,2
1614,2
1615,2
1616,2
1617,4
1618,2
1619,4
1620,2
1621,2
1622,4
1623,2
1624,2
1625,2
1626,2
1627,5
1628,3
1629,3
1630,2
1631,6
1632,6
1633,4
1634,5
1635,6
1636,2
1637,2
1638,3
1639,5
1640,2
1641,2
1642,2
1643,3
1644,3
1645,3
1646,2
1647,5
1648,2
1649,2
1650,3
1651,5
1652,5
1653,2
1654,3
1655,3
1656,5
1657,2
1658,1
1659,3
1660,4
1661,3
1662,2
1663,3
1664,5
1665,3
1666,3
1667,2
1668,3
1669,3
1670,7
1671,2
1672,5
1673,2
1674,2
1675,3
1676,3
1677,3
1678,2
1679,2
1680,2
1681,3
1682,2
1683,2
1684,3
1685,2
1686,2
1687,2
1688,2
1689,2
1690,2
1691,2
1692,3
1693,2
1694,3
1695,4
1696,3
1697,2
1698,2
1699,3
1700,3
1701,4
1702,3
1703,5
1704,3
1705,3
1706,2
1707,4
1708,2
1709,2
1710,3
1711,3
1712,2
1713,2
1714,2
1715,2
1716,2
1717,3
1718,2
1719,2
1720,3
1721,11
1722,3
1723,3
1724,5
1725,5
1726,10
1727,5
1728,2
1729,4
1730,2
1731,6
1732,5
1733,5
1734,3
1735,5
1736,4
1737,10
1738,9
1739,3
1740,3
1741,10
1742,2
1743,2
1744,7
1745,4
1746,11
1747,8
1748,5
1749,2
1750,4
1751,9
1752,2
1753,5
1754,5
1755,4
1756,2
1757,4
1758,6
1759,3
1760,2
1761,3
1762,3
1763,5
1764,5
1765,15
1766,14
1767,15
1768,3
1769,3
1770,3
1771,10
1772,2
1773,3
1774,2
1775,5
1776,4
1777,2
1778,3
1779,5
1780,2
1781,4
1782,1
1783,2
1784,2
1785,3
1786,2
1787,4
1788,3
1789,2
1790,6
1791,3
1792,3
1793,4
1794,8
1795,18
1796,2
1797,3
1798,9
1799,3
1800,2
1801,2
1802,9
1803,2
1804,2
1805,3
1806,3
1807,2
1808,3
1809,3
1810,2
1811,2
1812,3
1813,8
1814,3
1815,2
1816,2
1817,2
1818,3
1819,3
1820,4
1821,5
1822,4
1823,3
1824,2
1825,3
1826,2
1827,4
1828,2
1829,3
1830,2
1831,2
1832,3
1833,2
1834,2
1835,2
1836,2
1837,14
1838,2
1839,2
1840,3
1841,3
1842,6
1843,2
1844,5
1845,26
1846,2
1847,2
1848,2
1849,5
1850,2
1851,54
1852,2
1853,4
1854,1
1855,2
1856,3
1857,7
1858,2
1859,8
1860,3
1861,2
1862,3
1863,2
1864,5
1865,1
1866,6
1867,1
1868,3
1869,6
1870,3
1871,3
1872,4
1873,2
1874,3
1875,3
1876,3
1877,3
1878,2
1879,5
1880,2
1881,5
1882,16
1883,3
1884,3
1885,3
1886,3
1887,2
1888,3
1889,3
1890,4
1891,4
1892,2
1893,2
1894,2
1895,2
1896,2
1897,3
1898,2
1899,2
1900,4
1901,2
1902,1
1903,2
1904,2
1905,4
1906,2
1907,2
1908,2
1909,2
1910,2
1911,3
1912,2
1913,2
1914,2
1915,2
1916,2
1917,3
1918,4
1919,3
1920,3
1921,2
1922,3
1923,14
1924,2
1925,2
1926,2
1927,2
1928,3
1929,3
1930,2
1931,3
1932,4
1933,2
1934,2
1935,4
1936,6
1937,2
1938,2
1939,3
1940,1
1941,2
1942,5
1943,7
1944,3
1945,3
1946,3
1947,3
1948,3
1949,4
1950,2
1951,6
1952,2
1953,2
1954,2
1955,2
1956,2
1957,3
1958,2
1959,2
1960,3
1961,2
1962,3
1963,3
1964,2
1965,2
1966,2
1967,4
1968,2
1969,2
1970,3
1971,2
1972,2
1973,5
1974,7
1975,3
1976,2
1977,2
1978,3
1979,2
1980,2
1981,3
1982,3
1983,6
1984,5
1985,5
1986,2
1987,2
1988,3
1989,3
1990,2
1991,2
1992,3
1993,2
1994,2
1995,2
