Total Objects,Time (ms)
19,4
20,5
21,10
22,13
23,5
24,9
25,7
26,5
27,4
28,12
29,7
30,5
31,10
32,8
33,8
34,4
35,9
36,7
37,3
38,4
39,5
40,4
41,6
42,12
43,10
44,5
45,9
46,9
47,3
48,4
49,9
50,8
51,6
52,8
53,11
54,5
55,11
56,5
57,5
58,5
59,4
60,6
61,3
62,4
63,4
64,4
65,3
66,4
67,4
68,5
69,4
70,4
71,4
72,6
73,4
74,4
75,4
76,5
77,3
78,3
79,5
80,5
81,2
82,6
83,4
84,7
85,4
86,3
87,4
88,5
89,5
90,4
91,4
92,3
93,8
94,9
95,5
96,3
97,4
98,6
99,3
100,3
101,4
102,4
103,5
104,4
105,6
106,4
107,3
108,3
109,7
110,3
111,5
112,3
113,4
114,4
115,6
116,3
117,3
118,6
119,6
120,5
121,5
122,4
123,8
124,5
125,4
126,4
127,3
128,5
129,5
130,3
131,6
132,6
133,4
134,3
135,5
136,3
137,3
138,4
139,4
140,4
141,2
142,9
143,3
144,3
145,4
146,7
147,5
148,3
149,3
150,4
151,5
152,3
153,3
154,4
155,4
156,3
157,3
158,5
159,5
160,4
161,5
162,4
163,3
164,3
165,4
166,8
167,3
168,3
169,3
170,5
171,3
172,4
173,5
174,4
175,4
176,3
177,4
178,3
179,3
180,3
181,3
182,4
183,3
184,3
185,3
186,4
187,9
188,5
189,5
190,2
191,3
192,5
193,4
194,2
195,8
196,10
197,5
198,3
199,4
200,2
201,3
202,4
203,3
204,4
205,4
206,3
207,3
208,3
209,4
210,5
211,6
212,4
213,5
214,5
215,4
216,3
217,6
218,4
219,4
220,3
221,4
222,4
223,7
224,3
225,3
226,4
227,3
228,3
229,3
230,5
231,3
232,3
233,5
234,3
235,5
236,4
237,7
238,4
239,3
240,4
241,4
242,3
243,3
244,3
245,3
246,7
247,2
248,4
249,3
250,3
251,5
252,3
253,3
254,2
255,4
256,5
257,3
258,3
259,6
260,4
261,3
262,7
263,4
264,3
265,7
266,4
267,4
268,3
269,4
270,4
271,3
272,3
273,3
274,8
275,3
276,4
277,4
278,10
279,2
280,3
281,3
282,2
283,4
284,3
285,3
286,3
287,3
288,3
289,5
290,2
291,3
292,5
293,3
294,4
295,3
296,3
297,4
298,3
299,3
300,3
301,3
302,3
303,3
304,4
305,4
306,2
307,2
308,3
309,2
310,4
311,2
312,3
313,5
314,3
315,2
316,3
317,3
318,4
319,4
320,6
321,3
322,2
323,8
324,4
325,2
326,2
327,4
328,3
329,3
330,4
331,4
332,3
333,3
334,6
335,6
336,3
337,4
338,4
339,4
340,3
341,4
342,3
343,3
344,5
345,2
346,2
347,3
348,5
349,3
350,5
351,4
352,3
353,2
354,5
355,4
356,3
357,3
358,3
359,3
360,3
361,4
362,4
363,3
364,3
365,3
366,5
367,3
368,3
369,5
370,4
371,3
372,4
373,4
374,2
375,5
376,3
377,3
378,3
379,2
380,5
381,3
382,4
383,4
384,3
385,2
386,2
387,5
388,2
389,5
390,2
391,4
392,3
393,3
394,3
395,3
396,3
397,2
398,3
399,3
400,2
401,3
402,5
403,4
404,2
405,2
406,3
407,2
408,3
409,2
410,5
411,3
412,4
413,4
414,6
415,9
416,4
417,2
418,3
419,3
420,2
421,2
422,3
423,4
424,5
425,3
426,2
427,4
428,4
429,3
430,4
431,3
432,5
433,4
434,3
435,4
436,3
437,9
438,4
439,4
440,3
441,3
442,5
443,4
444,2
445,3
446,3
447,2
448,3
449,3
450,3
451,3
452,5
453,4
454,3
455,4
456,5
457,3
458,3
