Total Objects,Time (ms)
1019,6
1020,9
1021,5
1022,7
1023,9
1024,11
1025,7
1026,7
1027,7
1028,10
1029,13
1030,10
1031,6
1032,10
1033,6
1034,8
1035,13
1036,10
1037,9
1038,9
1039,9
1040,10
1041,7
1042,7
1043,11
1044,14
1045,9
1046,13
1047,6
1048,8
1049,16
1050,6
1051,6
1052,9
1053,11
1054,24
1055,22
1056,10
1057,7
1058,21
1059,16
1060,20
1061,10
1062,8
1063,9
1064,12
1065,9
1066,10
1067,16
1068,10
1069,6
1070,9
1071,13
1072,6
1073,9
1074,11
1075,13
1076,22
1077,17
1078,13
1079,17
1080,9
1081,7
1082,13
1083,8
1084,8
1085,7
1086,12
1087,18
1088,16
1089,8
1090,7
1091,8
1092,6
1093,8
1094,6
1095,7
1096,7
1097,7
1098,8
1099,9
1100,6
1101,14
1102,5
1103,6
1104,8
1105,5
1106,7
1107,6
1108,6
1109,8
1110,6
1111,8
1112,5
1113,8
1114,8
1115,11
1116,13
1117,7
1118,7
1119,7
1120,8
1121,8
1122,10
1123,8
1124,7
1125,11
1126,7
1127,14
1128,7
1129,7
1130,7
1131,7
1132,9
1133,7
1134,9
1135,8
1136,6
1137,8
1138,5
1139,9
1140,5
1141,6
1142,14
1143,13
1144,9
1145,15
1146,16
1147,7
1148,8
1149,9
1150,8
1151,6
1152,9
1153,6
1154,6
1155,9
1156,5
1157,7
1158,6
1159,5
1160,11
1161,7
1162,6
1163,8
1164,6
1165,8
1166,5
1167,5
1168,8
1169,5
1170,8
1171,5
1172,5
1173,7
1174,5
1175,8
1176,5
1177,5
1178,8
1179,6
1180,8
1181,5
1182,5
1183,11
1184,7
1185,5
1186,6
1187,5
1188,5
1189,5
1190,5
1191,5
1192,6
1193,7
1194,8
1195,6
1196,11
1197,11
1198,6
1199,4
1200,6
1201,4
1202,10
1203,6
1204,6
1205,12
1206,8
1207,9
1208,13
1209,7
1210,7
1211,11
1212,7
1213,7
1214,8
1215,6
1216,15
1217,5
1218,11
1219,8
1220,5
1221,13
1222,13
1223,20
1224,10
1225,15
1226,9
1227,5
1228,8
1229,13
1230,9
1231,6
1232,5
1233,8
1234,5
1235,8
1236,5
1237,9
1238,9
1239,6
1240,18
1241,17
1242,6
1243,6
1244,9
1245,22
1246,6
1247,5
1248,11
1249,6
1250,7
1251,8
1252,6
1253,12
1254,13
1255,10
1256,9
1257,10
1258,12
1259,8
1260,7
1261,8
1262,16
1263,6
1264,10
1265,5
1266,6
1267,6
1268,6
1269,6
1270,5
1271,8
1272,6
1273,6
1274,7
1275,6
1276,12
1277,16
1278,8
