Total Objects,Time (ms)
19,15
20,21
21,20
22,17
23,17
24,23
25,24
26,13
27,27
28,16
29,41
30,48
31,44
32,34
33,28
34,26
35,24
36,20
37,14
38,14
39,21
40,14
41,36
42,41
43,34
44,26
45,19
46,30
47,19
48,23
49,13
50,24
51,17
52,17
53,19
54,35
55,16
56,14
57,22
58,15
59,18
60,11
61,12
62,15
63,21
64,14
65,11
66,15
67,27
68,10
69,13
70,11
71,20
72,11
73,12
74,10
75,19
76,11
77,11
78,13
79,22
80,25
81,22
82,10
83,10
84,15
85,16
86,9
87,11
88,18
89,13
90,13
91,14
92,17
93,10
94,14
95,12
96,13
97,16
98,11
99,13
100,12
101,18
102,8
103,13
104,11
105,17
106,9
107,10
108,17
109,19
110,23
111,10
112,10
113,11
114,17
115,11
116,10
117,12
118,16
119,11
120,10
121,11
122,20
123,10
124,13
125,11
126,12
127,21
128,12
129,10
130,12
131,25
132,16
133,10
134,25
135,13
136,10
137,17
138,10
139,10
140,17
141,12
142,16
143,10
144,14
145,12
146,15
147,9
148,10
149,17
150,15
151,10
152,10
153,18
154,19
155,9
156,13
157,16
158,12
159,10
160,16
161,15
162,11
163,10
164,13
165,12
166,15
167,11
168,14
169,21
170,11
171,18
172,11
173,16
174,11
175,10
176,10
177,13
178,9
179,17
180,15
181,10
182,13
183,15
184,10
185,10
186,15
187,12
188,16
189,10
190,22
191,19
192,25
193,13
194,16
195,21
196,22
197,18
198,9
199,14
200,12
201,13
202,9
203,9
204,22
205,13
206,54
207,18
208,25
209,12
210,18
211,25
212,12
213,18
214,10
215,12
216,11
217,43
218,32
219,8
220,10
221,9
222,17
223,9
224,10
225,7
226,11
227,16
228,15
229,43
230,10
231,8
232,15
233,11
234,9
235,14
236,27
237,10
238,10
239,15
240,14
241,9
242,11
243,14
244,9
245,14
246,12
247,11
248,17
249,10
250,11
251,13
252,16
253,14
254,10
255,9
256,12
257,8
258,17
259,10
260,8
261,25
262,19
263,22
264,23
265,32
266,10
267,20
268,22
269,20
270,11
271,12
272,14
273,16
274,10
275,9
276,19
277,8
278,15
279,10
280,24
281,10
282,10
283,14
284,7
285,12
286,14
287,12
288,24
289,11
290,8
291,14
292,11
293,10
294,9
295,9
296,23
297,20
298,23
299,14
300,9
301,8
302,13
303,8
304,12
305,10
306,9
307,12
308,11
309,11
310,8
311,9
312,15
313,10
314,14
315,12
316,18
317,12
318,14
319,24
320,17
321,8
322,15
323,9
324,10
325,9
326,15
327,9
328,18
329,10
330,12
331,8
332,10
333,21
334,13
335,11
336,11
337,16
338,17
339,8
340,8
341,13
342,17
343,8
344,13
345,13
346,9
347,8
348,10
349,8
350,19
351,9
352,13
353,14
354,14
355,8
356,9
357,17
358,13
359,8
360,12
361,14
362,9
363,9
364,14
365,14
366,10
367,9
368,18
369,14
370,8
371,9
372,14
373,20
374,8
375,10
376,8
377,13
378,8
379,9
380,10
381,8
382,12
383,8
384,10
385,11
386,16
387,9
388,8
389,13
390,9
391,16
392,8
393,8
394,10
395,18
396,8
397,8
398,14
399,15
400,8
401,9
402,12
403,8
404,8
405,14
406,15
407,7
408,11
409,14
410,11
411,8
412,13
413,8
414,15
415,9
416,27
417,8
418,8
419,12
420,12
421,9
422,10
423,20
424,9
425,8
426,10
427,13
428,8
429,8
430,11
431,18
432,9
433,12
434,8
435,17
436,34
437,15
438,12
439,13
440,7
441,20
442,9
443,10
444,10
445,19
446,10
447,9
448,11
449,15
450,11
451,9
452,13
453,8
454,8
455,14
456,13
457,14
458,14
459,17
460,8
461,7
462,13
463,11
464,8
465,9
466,10
467,7
468,14
469,11
470,7
471,9
472,11
473,19
474,11
475,9
476,14
477,13
478,9
479,9
480,9
481,14
482,8
483,8
484,21
485,8
486,8
487,18
488,19
489,14
490,8
491,8
492,16
493,13
494,7
495,9
496,13
497,7
498,12
499,11
500,8
501,11
502,14
503,10
504,13
505,8
506,6
507,8
508,11
509,15
510,17
511,8
512,8
513,16
514,9
515,12
516,9
517,9
518,12
519,8
520,9
521,11
522,8
523,14
524,8
525,7
526,8
527,9
528,11
529,10
530,8
531,11
532,8
533,15
534,8
535,8
536,21
537,13
538,9
539,8
540,11
541,8
542,9
543,13
544,15
545,6
546,14
547,9
548,11
549,17
550,11
551,11
552,11
553,17
554,11
555,8
556,21
557,9
558,12
559,9
560,26
561,18
562,11
563,8
564,11
565,11
566,10
567,13
568,10
569,7
570,9
571,11
572,7
573,7
574,23
575,10
576,8
577,12
578,7
579,9
580,8
581,8
582,13
583,7
584,8
585,23
586,7
587,6
588,21
589,13
590,9
591,7
592,9
593,12
594,8
595,7
596,11
597,11
598,7
599,9
600,10
601,8
602,8
603,12
604,7
605,9
606,7
607,7
608,11
609,16
610,7
611,8
612,12
613,11
614,9
615,13
616,6
617,11
618,9
619,9
620,13
621,8
622,9
623,20
624,8
625,8
626,13
627,10
628,16
629,10
630,11
631,9
632,12
633,7
634,10
635,25
636,17
637,10
638,15
639,10
640,8
641,13
642,22
643,26
644,19
645,10
646,8
647,8
648,17
649,10
650,11
651,34
652,17
653,13
654,19
655,22
656,14
657,32
658,32
659,12
660,13
661,13
662,12
663,13
664,10
665,8
666,15
667,11
668,8
669,8
670,10
671,14
672,9
673,12
674,13
675,19
676,11
677,8
678,14
679,8
680,9
681,13
682,13
683,17
684,22
685,8
686,14
687,17
688,19
689,10
690,13
691,14
692,9
693,8
694,12
695,14
696,10
697,9
698,10
699,17
700,10
701,9
702,10
703,17
704,17
705,8
706,8
707,11
708,15
709,8
710,10
711,14
712,8
713,8
714,11
715,9
716,8
717,15
718,13
719,8
720,9
721,9
722,32
723,6
724,8
725,14
726,13
727,9
728,7
729,12
730,12
731,8
732,7
733,10
734,8
735,17
736,11
737,8
738,11
739,7
740,7
741,9
742,7
743,14
744,12
745,22
746,8
747,24
748,17
749,17
750,10
751,16
